Tarix,Uni,Ixtisas,Bal
2023,BDU,KE,489.6
2023,BDU,IS,545.8
2023,ADNSU,KE,534.3
2023,ADNSU,IS,573.2
2023,ADNSU,IT,539.6
2023,ADNSU,KM,517.4
2023,AZTU,IS,478.7
2023,AZTU,IT,445.7
2023,AZTU,KM,424.2
2023,AZMIU,IS,478.3
2023,AZMIU,IT,447.9
2023,UNEC,KE,551.9
2023,UNEC,IT,567.5
2023,UNEC,IS,595.6
2023,BMU,KE,516.8
2023,BMU,IS,537.7
2023,BMU,IT,534.8
2023,BMU,KM,512.9
2023,MAA,IT,492.6
2023,MAA,KM,492.6
2022,BDU,KE,427.4
2022,BDU,IS,468.3
2022,ADNSU,KE,503.6
2022,ADNSU,IS,529.5
2022,ADNSU,IT,475.2
2022,ADNSU,KM,465.8
2022,AZTU,IS,412.2
2022,AZTU,IT,364.9
2022,AZTU,KM,354.5
2022,AZMIU,IT,390.6
2022,UNEC,KE,470.5
2022,UNEC,IT,469.1
2022,UNEC,IS,493.6
2022,BMU,KE,424.9
2022,BMU,IS,462.1
2022,BMU,IT,492
2022,BMU,KM,464.5
2022,MAA,IT,434.4
2022,MAA,KM,461.1
2021,BDU,KE,431.7
2021,ADNSU,KE,536.5
2021,ADNSU,IS,555.5
2021,ADNSU,IT,496.3
2021,ADNSU,KM,505.2
2021,AZTU,IS,423.6
2021,AZTU,IT,324.7
2021,AZTU,KM,332.4
2021,AZMIU,IT,370
2021,UNEC,KE,487.8
2021,UNEC,IT,479.2
2021,UNEC,IS,491.9
2021,BMU,IS,477.7
2021,BMU,IT,483.1
2021,BMU,KM,478.7
2021,MAA,IT,467.3
2021,MAA,KM,478.1
